id,phase,category,title,severity,asset,evidence_before,fix,retest_evidence,status,owner,date
F-011,Phase6,Auth hardening,"Four Supabase Auth hardening controls (unverified-email sign-in, refresh-token rotation, CAPTCHA/bot protection, manual account linking) are not exposed anywhere in Lovable's Auth settings dashboard, and Salma has no direct Supabase access to check or configure them","Medium (unknown state on 4 of 8 release-blocking criteria -- not a confirmed misconfiguration, a verification gap)",Supabase-hosted Auth configuration (production),apps/wilmet/evidence/phase6-hosted-auth-manual-review.txt,"No fix available through current access. Would require either Lovable exposing these controls in its dashboard, or Salma obtaining direct supabase.com access (same constraint as ADR-007/ADR-008)",,"open (structural, not actionable)",Claude,2026-08-26
F-012,Phase2 (prior pass),Authorization,"profiles table allowed self-INSERT, letting a user recreate their own profile row with attacker-chosen commission_rate/partner_kind/staff_scope -- proven via a live exploit PoC against a real account (inserted, confirmed, then rolled back)",High,profiles,"PR #34 -- git history: docs/security/tm-009-profile-insert.md (removed 2026-08-26, see ADR-009)",RLS INSERT policy corrected to prevent self-assignment of privileged fields,confirmed fixed in code via the same PR; doc noted staging deployment as pending PR merge at time of writing (2026-08-19) -- not independently reconfirmed live by this V2P pass,closed,"Salma (via ChatGPT, 2026-08 pass)",2026-08-19
F-013,Phase2 (prior pass),Authorization,"Sellers could read internal staff CRM notes (call/email/meeting/task activity) attached to their own opportunity via opportunity_activities -- proven live with a synthetic staff note (seller saw it, correctly-scoped staff did not, until fixed)",High,opportunity_activities,"PR #36 -- git history: docs/security/tm-011-workflow-children.md (removed, see ADR-009)","RLS scoped activities to author/assigned staff only, hiding internal-kind notes from the owning partner",real-JWT suite passed 2026-08-27 -- evidence/phase6-orphaned-staging-suites-green.txt (tests/staging/workflow-children.staging.ts),closed,Salma (via ChatGPT),2026-08-19
F-014,Phase2 (prior pass),Authorization,"opportunity_commissions: an external_agent could read another party's commission row via UUID coincidence -- found during the verification pass itself, not a pre-existing known bug",Medium,opportunity_commissions,"PR #29 -- git history: docs/security/tm-002-commission-scope-verification.md (removed, see ADR-009)",Policy tightened before merge; 17/17 role-matrix pass achieved,,closed,Salma (via ChatGPT),2026-08-19
F-015,Phase2 (prior pass),Authorization,"buyer_lead_matches / buyer_lead_status_history lacked proper parent-scope checks, risking cross-assignment visibility",Medium,"buyer_lead_matches, buyer_lead_status_history","PR #21 / #28 -- git history: docs/security/tm-001-buyer-lead-child-scope-verification.md (removed, see ADR-009)",19-row role matrix verified after scope fix,,closed,Salma (via ChatGPT),2026-08-19
F-016,Phase2 (prior pass),Authorization,"No invariant enforced that a published sale listing's photos actually belong to that listing's own opportunity; separately, a seller could still mutate a submitted (Wilmet-owned) photo's sort_order",Medium,"sale_listings, vehicle_photos","PR #35 / #43 -- git history: docs/security/tm-007-sale-listing-photo-ownership.md, docs/security/tm-011-photo-parent-scope.md (removed, see ADR-009)",Trigger-enforced ownership invariant added; owner_side/handoff-state check added to photo mutation authorization,real-JWT suite passed 2026-08-27 -- evidence/phase6-orphaned-staging-suites-green.txt (tests/staging/photo-handoff.staging.ts),"closed for the vehicle_photos/vehicle_opportunities ownership-freeze half, confirmed via a passing real-JWT run; the sale_listings photo-ownership trigger half (tm-007) remains untested by any real-JWT suite",Salma (via ChatGPT),2026-08-19
F-017,Phase2 (prior pass),Authorization,app_settings table allowed public/anon SELECT before remediation,High,app_settings,"PR #44 -- git history: docs/security/tm-008-app-settings-boundary.md (removed, see ADR-009)",Removed public/anon SELECT; admin-only RLS plus safe field-level projections added for public/authenticated/admin consumers,regression test added (app-settings.shared.test.ts),closed,Salma (via ChatGPT),2026-08-19
F-018,Phase2 (prior pass),Authorization,"B0-001: RLS direct-assignment bypass on the 4 core pipeline tables via PUBLIC execute grants on authorization helper functions, plus is_external misused as an authorization identity rather than a real role check",High,"4 core pipeline tables (buyer_leads, vehicle_opportunities, demand_opportunities, sale_listings and their children)","Migration 20260818145500_phase1b_authorization_correction.sql -- git history: docs/security/phase1b-verification.md (removed, see ADR-009)",RLS/grants corrected; verified via 25-row pass/fail matrix using rollback-only role-spoofed transactions (SET LOCAL ROLE + spoofed JWT claim),"partial: vehicle_opportunities slice re-verified via a passing real-JWT run 2026-08-27 -- evidence/phase6-orphaned-staging-suites-green.txt (security.staging.ts, workflow-children.staging.ts, workflow-transactions.staging.ts, photo-handoff.staging.ts). buyer_leads, demand_opportunities, and sale_listings still have no real-JWT coverage anywhere.",open -- vehicle_opportunities slice now confirmed via real-JWT re-verification; the other 3 of the 4 core pipeline tables named in B0-001 remain genuinely unverified by any real-JWT suite,Salma (via ChatGPT),2026-08-18
F-019,Phase3 (prior pass),AI / Abuse controls,Voice/OCR AI features lacked quota/rate-limit and fail-closed input-budget enforcement,Medium,voice/OCR AI endpoints,"git history: docs/security/ai-abuse-controls.md (removed, see ADR-009)",Per-user/per-IP quotas (10-min and 24h windows) added with fail-closed 400/413/415/429/503 semantics; unit-tested (src/lib/ai-abuse.test.ts),,"open -- unit tests pass, but a deployed staging run proving real authenticated requests hit these limits, and that production alerting routes the resulting quota-pressure warnings anywhere, was explicitly flagged as still required and was never confirmed done",Salma (via ChatGPT),2026-08-19
F-020,Phase1 (prior pass),Data / Privacy,No documented data-minimization contract for which opportunity/document/OCR fields may be sent to the external Lovable AI Gateway for dossier analysis,Medium,AI Gateway dossier-analysis payload,"git history: docs/security/dossier-ai-data-contract.md (removed, see ADR-009)",Code-level allow/deny-list contract added (src/lib/dossier-ai-payload.ts) with automated test coverage (dossier-ai-payload.test.ts),,"open -- the code contract is real and tested, but does not itself establish the legal basis for external AI processing (retention terms, data residency, DPA terms, subprocessor chain) -- an unresolved legal/privacy question, not a technical one",Salma (via ChatGPT),2026-08-19
F-021,Phase0 (prior pass),Data integrity,"Migration ledger drift: 5 already-applied migrations were missing from the schema_migrations tracking table (bookkeeping drift only, not a schema/data defect)",Low,schema_migrations ledger,"git history: docs/recovery/database-reproducibility.md (removed, see ADR-009)",Inserted as history-only records after before/after guard checks confirmed no schema/data impact,,closed,Salma (via ChatGPT),2026-08-18
F-022,Phase6 (prior pass),Reliability,"Several multi-step server mutations (info-request answer/creation, handover, photo reorder/main-photo-select/delete) were not atomic -- a partial failure could leave inconsistent state",Medium,several RPC-backed mutations,"git history: docs/reliability/workflow-transactions.md (removed, see ADR-009)",Wrapped in SECURITY INVOKER Postgres RPCs with proper rollback-on-failure; atomicity proven (e.g. a reorder batch with one invalid row left the original order unchanged),real-JWT suite passed 2026-08-27 -- evidence/phase6-orphaned-staging-suites-green.txt (tests/staging/workflow-transactions.staging.ts),"closed for the described slice (info-request answer, handover, photo reorder/main-select), confirmed via a passing real-JWT run; affiliate fast-track and purchase-to-sale-listing orchestration remain untested -- open for those two",Salma (via ChatGPT),2026-08-19
